code;isin;date;coursPrecedent;coursJour;coursReference;cleanPrice;couponCouru;dirtyPrice;volume;valeurTransigee
ORGT.O2;TG0000001726;2026-01-02;7200;;7200;7200;80.14;7280.14;0;0
PADS.O3;SN0000001454;2026-01-02;4000;;4000;4000;54.4;4054.4;0;0
PTRC.O1;CI0000005948;2026-01-02;12000;;12000;12000;32.95;12032.95;0;0
SCRC.O1;CI0000008637;2026-01-02;10000;;10000;10000;595.31;10595.31;0;0
SNTS.O2;SN0000001371;2026-01-02;3960;;3960;3960;113.83;4073.83;0;0
SUKSN.S2;SN0000000985;2026-01-02;10000;;10000;10000;266.67;10266.67;0;0
SUKTG.S1;TG0000000744;2026-01-02;10300;;10300;10300;283.5;10583.5;0;0
TPBF.O11;BF0000001537;2026-01-02;5002;;5002;5002;182.43;5184.43;0;0
TPBF.O12;BF0000001743;2026-01-02;9990;;9990;9990;177.76;10167.76;0;0
TPBF.O13;BF0000001867;2026-01-02;9998;;9998;9998;317.93;10315.93;0;0
TPBF.O14;BF0000002212;2026-01-02;9699;;9699;9699;214.06;9913.06;0;0
TPBF.O15;BF0000002287;2026-01-02;10000;;10000;10000;83.54;10083.54;0;0
TPBF.O16;BF0000002436;2026-01-02;10000;;10000;10000;286.96;10286.96;0;0
TPBF.O17;BF0000002709;2026-01-02;10000;;10000;10000;141.92;10141.92;0;0
TPBF.O18;BF0000002717;2026-01-02;9940;;9940;9940;146.43;10086.43;0;0
TPBF.O19;BF0000003061;2026-01-02;10000;;10000;10000;99.2;10099.2;0;0
TPBF.O20;BF0000003079;2026-01-02;10000;;10000;10000;103.14;10103.14;0;0
TPBF.O21;BF0000003350;2026-01-02;9999;;9999;9999;62.85;10061.85;0;0
TPBF.O22;BF0000003368;2026-01-02;10000;;10000;10000;65.75;10065.75;0;0
TPBF.O4;BF0000000745;2026-01-02;10750;;10750;10750;139.15;10889.15;0;0
TPBF.O8;BF0000001271;2026-01-02;9700;;9700;9700;101.5;9801.5;0;0
TPBF.O9;BF0000001362;2026-01-02;11500;;11500;11500;153.57;11653.57;0;0
TPBJ.O3;BJ0000001418;2026-01-02;10000;;10000;10000;231.51;10231.51;0;0
TPBJ.O4;BJ0000001665;2026-01-02;10000;;10000;10000;462.6;10462.6;0;0
TPBJ.O5;BJ0000001673;2026-01-02;10000;;10000;10000;492.04;10492.04;0;0
TPBJ.O6;BJ0000001764;2026-01-02;10200;;10200;10200;248.9;10448.9;0;0
TPBJ.O7;BJ0000001947;2026-01-02;10000;;10000;10000;460.68;10460.68;0;0
TPBJ.O8;BJ0000001954;2026-01-02;10000;;10000;10000;501.1;10501.1;0;0
TPCI.O21;CI0000001822;2026-01-02;10000;;10000;10000;442.19;10442.19;0;0
TPCI.O22;CI0000001889;2026-01-02;10000;;10000;10000;324.9;10324.9;0;0
TPCI.O23;CI0000002119;2026-01-02;10000;;10000;10000;74.36;10074.36;0;0
TPCI.O24;CI0000002317;2026-01-02;9700;;9700;9700;113.96;9813.96;0;0
TPCI.O28;CI0000002648;2026-01-02;9200;;9200;9200;253.15;9453.15;0;0
TPCI.O29;CI0000002663;2026-01-02;10000;;10000;10000;247.25;10247.25;0;0
TPCI.O31;CI0000002952;2026-01-02;10230;;10230;10230;308.77;10538.77;0;0
TPCI.O33;;2026-01-02;2080;;2080;2080;91.15;2171.15;0;0
TPCI.O34;CI0000002911;2026-01-02;4900;;4900;4900;236.71;5136.71;0;0
TPCI.O35;CI0000003059;2026-01-02;10000;;10000;10000;275.68;10275.68;0;0
TPCI.O36;CI0000003117;2026-01-02;10000;;10000;10000;211.1;10211.1;0;0
TPCI.O37;CI0000003174;2026-01-02;2050;;2050;2050;9.22;2059.22;0;0
TPCI.O39;CI0000003125;2026-01-02;2000;;2000;2000;24.26;2024.26;0;0
TPCI.O40;CI0000003380;2026-01-02;4000;;4000;4000;224.96;4224.96;0;0
TPCI.O41;CI0000003422;2026-01-02;10000;;10000;10000;489.42;10489.42;0;0
TPCI.O42;CI0000003430;2026-01-02;10000;;10000;10000;497.86;10497.86;0;0
TPCI.O43;CI0000003588;2026-01-02;10000;;10000;10000;410.58;10410.58;0;0
TPCI.O44;CI0000003596;2026-01-02;9800;;9800;9800;403.62;10203.62;0;0
TPCI.O45;CI0000003471;2026-01-02;4000;;4000;4000;127.12;4127.12;0;0
TPCI.O46;CI0000003497;2026-01-02;6375;;6375;6375;202.05;6577.05;0;0
TPCI.O47;CI0000003489;2026-01-02;4100;;4100;4100;127.12;4227.12;0;0
TPCI.O50;CI0000003737;2026-01-02;6250;;6250;6250;128.3;6378.3;0;0
TPCI.O51;CI0000003836;2026-01-02;4000;;4000;4000;58.48;4058.48;0;0
TPCI.O52;CI0000003919;2026-01-02;6250;;6250;6250;92.95;6342.95;0;0
TPCI.O53;CI0000003901;2026-01-02;4240;;4240;4240;41.95;4281.95;0;0
TPCI.O54;CI0000003844;2026-01-02;6250;;6250;6250;66.68;6316.68;0;0
TPCI.O55;CI0000004057;2026-01-02;4000;;4000;4000;5.08;4005.08;0;0
TPCI.O57;CI0000003968;2026-01-02;3880;;3880;3880;27.33;3907.33;0;0
TPCI.O58;CI0000004172;2026-01-02;6000;;6000;6000;285.07;6285.07;0;0
TPCI.O60;CI0000004313;2026-01-02;10000;;10000;10000;371.84;10371.84;0;0
TPCI.O61;CI0000004321;2026-01-02;10000;;10000;10000;378.25;10378.25;0;0
TPCI.O62;CI0000004479;2026-01-02;6000;;6000;6000;177.34;6177.34;0;0
TPCI.O63;CI0000004487;2026-01-02;7500;;7500;7500;225.49;7725.49;0;0
TPCI.O65;CI0000004834;2026-01-02;8025;;8025;8025;113.96;8138.96;0;0
TPCI.O67;CI0000004925;2026-01-02;10000;;10000;10000;27.48;10027.48;0;0
TPCI.O68;CI0000004974;2026-01-02;10000;;10000;10000;541.51;10541.51;0;0
TPCI.O69;CI0000005096;2026-01-02;9999;;9999;9999;450.55;10449.55;0;0
TPCI.O70;CI0000005179;2026-01-02;10000;;10000;10000;390.68;10390.68;0;0
TPCI.O71;CI0000005310;2026-01-02;10000;;10000;10000;311.14;10311.14;0;0
TPCI.O72;CI0000005385;2026-01-02;7920;;7920;7920;194.42;8114.42;0;0
TPCI.O73;CI0000005393;2026-01-02;8750;;8750;8750;216.41;8966.41;0;0
TPCI.O75;CI0000005641;2026-01-02;10700;;10700;10700;134.67;10834.67;0;0
TPCI.O76;CI0000005658;2026-01-02;10500;;10500;10500;137.05;10637.05;0;0
TPCI.O77;CI0000005674;2026-01-02;10000;;10000;10000;95.95;10095.95;0;0
TPCI.O78;CI0000005880;2026-01-02;10000;;10000;10000;30.96;10030.96;0;0
TPCI.O79;CI0000006235;2026-01-02;10750;;10750;10750;485.21;11235.21;0;0
