source;transaction;type_bien;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
jiji;achat;villa;7chbre Duplex dans Zié Multi-Service, Cocody à Vendre;1000000000;750;1333333;7;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/7chbre-duplex-dans-zie-multi-service-cocody-a-vendre-iO31T0kvHSzAUBSKW9Kz778G.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;7chbre Duplex dans Cocody à Vendre;45000000;200;225000;7;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/7chbre-duplex-dans-cocody-a-vendre-oMPFRYLNaLz0cN3lzJtRHpwm.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;3chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;150000000;300;500000;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/3chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-svZhqaqdcf5n7Tu7Bb2tVNzM.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Ismael Coulibaly, Cocody à Vendre;60000000;200;300000;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-nMxkyCb6NaSWE7zrBQQzYepJ.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Ismaël Coulibaly, Bingerville à Vendre;140000000;400;350000;5;Bingerville;;;https://jiji.co.ci/bingerville/houses-apartments-for-sale/5chbre-duplex-dans-ismael-coulibaly-bingerville-a-vendre-hVkpYTFRdTb2HesPCczzih4I.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Cocody à Vendre;350000000;400;875000;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-cocody-a-vendre-nrcXSs4EsMPWtgJ3XxE4bTqB.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;3chbre Appartement dans Zié Multi-Service, Cocody à Vendre;85000000;133;639098;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/3chbre-appartement-dans-zie-multi-service-cocody-a-vendre-4JGYZio0jQ4NzrVOQof6MRd.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Djorobite, Cocody à Vendre;85000000;200;425000;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-djorobite-cocody-a-vendre-bel8br1Pj5KYmWuafDM5qvpE.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;70000000;2000;35000;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-5gYWm8y7kJnxavLefp6eY5B5.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;8chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;1000000;400;2500;8;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/8chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-zRDrUn6Q6pJ3gRxD0i7NKzyH.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;160000000;3000;53333;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-6gMYuQlPw31Cj3DmgclI2tPx.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;12chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;7000000;2000;3500;12;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/12chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-hmp74Bp5jECLjEgbb9z1G1yl.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;12chbre Duplex dans 1, Cocody à Vendre;2300000000;;;12;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/12chbre-duplex-dans-1-cocody-a-vendre-2Xpb7mtOULji7hQWcERkUpgA.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;3chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;1000000;300;3333;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/3chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-Bxax6fxzMvTIKqsfvLcP4tNh.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;2chbre Appartement dans Ismaël Coulibaly, Cocody à Vendre;25000000;150;166667;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/2chbre-appartement-dans-ismael-coulibaly-cocody-a-vendre-kOTM0Z9FwTudI1hf5ZcvguSx.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;4chbre Villa dans Ciad, Cocody à Vendre;140000000;200;700000;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/4chbre-villa-dans-ciad-cocody-a-vendre-rDyfmAFUCCpORB3qk7UXWAFa.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;7chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;3500000;500;7000;7;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/7chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-1ejzmw7lNolK4EXe5ZyMo3o3.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;7chbre Duplex dans Coulibaly Ismael, Cocody à Vendre;85000000;200;425000;7;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/7chbre-duplex-dans-coulibaly-ismael-cocody-a-vendre-72AaoyGGwPpVVgmVMTMPAgQ.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;6chbre Villa dans Bingerville à Vendre;75000000;210;357143;6;Bingerville;;;https://jiji.co.ci/bingerville/houses-apartments-for-sale/6chbre-villa-dans-bingerville-a-vendre-xuPJFPamtU47I4V7AWKfYzoP.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;20chbre Blocs d'appartements dans Zié Multi-Service, Yopougon à Vendre;150000000;350;428571;20;Yopougon;;;https://jiji.co.ci/yopougon/houses-apartments-for-sale/20chbre-blocs-dappartements-dans-zie-multi-service-yopougon-a-vendre-pMtGLvk0Ks3G5goVXrpC2g4b.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;Furnished 8chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;2000000;600;3333;8;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/furnished-8chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-w2x8AJ3tRZlwFl6p8vGqJufc.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;20chbre Duplex dans Zié Multi-Service, Cocody à Vendre;4000000000;3000;1333333;20;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/20chbre-duplex-dans-zie-multi-service-cocody-a-vendre-8bnpAXo9bISm4gzJvy3mIaOt.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;Furnished 6chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;170000000;250;680000;6;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/furnished-6chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-3agiZZmJZtZtSP7uqIU8joDZ.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;2chbre Appartement dans Ismaël Coulibaly, Cocody à Vendre;45000000;300;150000;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/2chbre-appartement-dans-ismael-coulibaly-cocody-a-vendre-rvPPqibwZ7CrXVi54C1AHyEJ.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;Furnished 8chbre Duplex dans Ismael Coulibaly, Cocody à Vendre;70000000;250;280000;8;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/furnished-8chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-pzSTv7B7aC6SkXrnKxpbXqSr.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Djorobite, Cocody à Vendre;200000000;300;666667;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-djorobite-cocody-a-vendre-yxiMhuQJkR3tans7qSrDbRXU.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;4chbre Duplex dans Feh Kesse, Cocody à Vendre;95000000;200;475000;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/4chbre-duplex-dans-feh-kesse-cocody-a-vendre-8D4fXmA2RkENacOFniqIF2Sa.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;3chbre Duplex dans Ismael Coulibaly, Bingerville à Vendre;160000000;300;533333;3;Bingerville;;;https://jiji.co.ci/bingerville/houses-apartments-for-sale/3chbre-duplex-dans-ismael-coulibaly-bingerville-a-vendre-bb51mes6GoxX5U75QnEDUPAk.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Ismaël Coulibaly, Bingerville à Vendre;180000000;300;600000;5;Bingerville;;;https://jiji.co.ci/bingerville/houses-apartments-for-sale/5chbre-duplex-dans-ismael-coulibaly-bingerville-a-vendre-lgkSLFKaTvhMxumzHKSAyAGb.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;4chbre Duplex dans Abatta, Cocody à Vendre;90000000;205;439024;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/4chbre-duplex-dans-abatta-cocody-a-vendre-92Qh1mB0JxDgroOfYrXDTc8q.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;4chbre Duplex dans Ismaël Coulibaly, Bingerville à Vendre;80000000;230;347826;4;Bingerville;;;https://jiji.co.ci/bingerville/houses-apartments-for-sale/4chbre-duplex-dans-ismael-coulibaly-bingerville-a-vendre-ksd9784jJFzdLgbhnGZlLcx2.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;14chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;3000000;700;4286;14;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/14chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-hxjns0fo4Qe7tFyjzq1Mdg9Z.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;20chbre Blocs d'appartements dans Zié Multi-Service, Le Plateau;4000000000;575;6956522;20;Plateau;;;https://jiji.co.ci/le-plateau/houses-apartments-for-sale/20chbre-blocs-dappartements-dans-zie-multi-service-le-plateau-8aJ5vI16QjWtNhs9eb2BkH3b.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;6chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;155000000;380;407895;6;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/6chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-R3TvMn6a19AUFvcnVmWT1gH.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Immobilier Winner, Cocody à Vendre;145000000;300;483333;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-immobilier-winner-cocody-a-vendre-AUdbRUKSFBYtrG12uCF4cBaW.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;6chbre Duplex dans Cocody à Vendre;60000000;300;200000;6;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/6chbre-duplex-dans-cocody-a-vendre-nQCT0UySWl1QHNvTJfetdvDn.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;4chbre Duplex dans Francis Gweh, Cocody à Vendre;100000000;600;166667;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/4chbre-duplex-dans-francis-gweh-cocody-a-vendre-yxW8yYGAgr4qX7dnMHULqacM.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;4chbre Duplex dans Bingerville Palais, Cocody à Vendre;90000000;200;450000;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/4chbre-duplex-dans-bingerville-palais-cocody-a-vendre-9XKWubcgy3JqGYFl3GFU46b4.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;8chbre Duplex dans Angre Nouveau Chu, Cocody à Vendre;500000000;600;833333;8;Cocody;Angre;;https://jiji.co.ci/cocody/houses-apartments-for-sale/8chbre-duplex-dans-angre-nouveau-chu-cocody-a-vendre-BqYTUCHwxwb4m8ocZkzaW8Zd.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Feh Kesse, Cocody à Vendre;95000000;250;380000;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-feh-kesse-cocody-a-vendre-ijcM5MSLQVWEOKl2pxNm5CNo.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;6chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;500000000;900;555556;6;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/6chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-d68QBv2APJoT2mW9Pv7MSRYp.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Gabonza, Yopougon à Vendre;50000000;300;166667;5;Yopougon;;;https://jiji.co.ci/yopougon/houses-apartments-for-sale/5chbre-duplex-dans-gabonza-yopougon-a-vendre-CqasFPpztefXpND33EfQa8jo.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;2chbre Blocs d'appartements dans Ismaël Coulibaly, Cocody à Vendre;60000000;300;200000;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/2chbre-blocs-dappartements-dans-ismael-coulibaly-cocody-a-vendre-1sEwIWG6GBistXmrK4QWAggD.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;750000;300;2500;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-xgsV2c0Wh20hK8Krj4NIPblz.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;4chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;2500000000;2000;1250000;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/4chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-b6TrnEse6YlwEAuoN2zNlzBD.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;5chbre Duplex dans Angré Djorogobité, Cocody à Vendre;95000000;200;475000;5;Cocody;Angré;;https://jiji.co.ci/cocody/houses-apartments-for-sale/5chbre-duplex-dans-angre-djorogobite-cocody-a-vendre-glc2jzCcn2TFnNkZ470tUKbM.html;2026-05-02T00:28:16+00:00
