bocDate;gestionnaire;depositaire;opcvm;categorie;frequenceCalcul;vlOrigine;dateOrigine;vlPrecedente;datePrecedente;vlActuelle;dateActuelle;typeOpc;actifNet;vlAumfcp;dateAumfcp;nomAumfcp
2026-09-08;ATTIJARI ASSET MANAGEMENT;SGI MALI SA;ATTIJARI HORIZON;Obligataire (OLMT);Hebdomadaire;10000;2013-08-30;17467.34;2026-08-28;17480.82;2026-09-04;FCP;35 720 977 196;17 294;2026-06-30;ATTIJARI HORIZON
2026-09-08;ATTIJARI ASSET MANAGEMENT;SGI MALI SA;ATTIJARI ACTIONS;Actions;Hebdomadaire;10000;2015-05-21;39589.63;2026-08-28;40510.2;2026-09-04;FCP;1 655 513 731;35 153;2026-06-30;ATTIJARI ACTIONS
2026-09-08;ATTIJARI ASSET MANAGEMENT;SGI AFRICAINE DE BOURSE;ATTIJARI DIVERSIFIE;Diversifié;Hebdomadaire;10000;2015-05-21;29564.31;2026-08-28;29933.7;2026-09-04;FCP;29 499 841 315;28 052;2026-06-30;ATTIJARI DIVERSIFIE
2026-09-08;ATTIJARI ASSET MANAGEMENT;SGI AFRICAINE DE BOURSE;ATTIJARI INVEST;Obligataire (OLMT);Hebdomadaire;10000;2016-01-21;16758.06;2026-08-28;16767.4;2026-09-04;FCP;14 912 494 205;16 573;2026-06-30;ATTIJARI INVEST
2026-09-08;ATTIJARI ASSET MANAGEMENT;SGI AFRICAINE DE BOURSE;ATTIJARI PATRIMOINE;Obligataire (OLMT);Hebdomadaire;10000;2016-01-21;16559.73;2026-08-28;16572.1;2026-09-04;FCP;32 077 699 043;16 436;2026-06-30;ATTIJARI PATRIMOINE
2026-09-08;ATTIJARI ASSET MANAGEMENT;SGI AFRICAINE DE BOURSE;CRBC-PROSPERITE;Obligataire (OLMT);Hebdomadaire;10000;2022-02-04;13345.28;2026-08-28;13374.36;2026-09-04;FCP;32 260 794 963;13 065;2026-06-30;CRBC-PROSPERITE
2026-09-08;ATTIJARI ASSET MANAGEMENT;SGI AFRICAINE DE BOURSE;WAFA ASSURANCE UEMOA;Obligataire (OLMT);Hebdomadaire;10000;2023-05-05;11899.71;2026-08-28;11900.86;2026-09-04;FCP;52 761 699 687;11 802;2026-06-30;WAFA ASSURANCE UEMOA
2026-09-08;ATTIJARI ASSET MANAGEMENT;SGI AFRICAINE DE BOURSE;FCP CRAT PERFORMANCE;Diversifié;Hebdomadaire;10000;2024-03-08;17961.41;2026-08-28;18184.33;2026-09-04;FCP;974 130 092;16 789;2026-06-30;CRAT PERFORMANCE
2026-09-08;UCAMWAL;UBA CI;United Capital Sapphire;Diversifié;Hebdomadaire;5000;2025-08-01;6224.5427;2026-08-14;6408.1824;2026-08-21;FCP;1 351 385 976;6 035;2026-06-30;UNITED CAPITAL SAPPHIRE
2026-09-08;UCAMWAL;UBA CI;United Capital Diamond;Obligataire (OLMT);Hebdomadaire;100000;2025-08-01;112931.7663;2026-08-14;113706.0703;2026-08-21;FCP;4 054 599 617;113 722;2026-06-30;UNITED CAPITAL DIAMOND
2026-09-08;BNI GESTION;BNI FINANCES;FCPE CNRA;Diversifié;Mensuelle;2500;2014-06-06;4730;2026-06-30;4911;2026-07-31;FCPE;120 778 052;4 730;2026-06-30;CNRA
2026-09-08;BNI GESTION;BNI FINANCES;FCPE BNI RETRAITE;Diversifié;Mensuelle;2500;2014-06-06;6251;2026-06-30;6286;2026-07-31;FCPE;889 739 540;6 252;2026-06-30;BNI RETRAITE
2026-09-08;BNI GESTION;BNI FINANCES;FCP KARIMA ETHIQUE;Diversifié;Mensuelle;1000;2013-05-22;2548;2026-06-30;2599;2026-07-31;FCP;450 323 811;2 548;2026-06-30;KARIMA ETHIQUE
