source;transaction;type_bien;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
coinafrique;location;appartement;Location appartement 4 pièces - abidjan cocody danga;1500000;200;7500;4;Cocody;Danga;;https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-abidjan-cocody-danga-5879103;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location  villa basse 4  Riviera 4 cité synacassi1;1300000;;;;Cocody;Riviera 4;;https://ci.coinafrique.com/annonce/villas/location-villa-basse-4-riviera-4-cite-synacassi1-5889455;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex 6 pièces - Abidjan cocody golf bervely hills;2500000;500;5000;6;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-villa-duplex-6-pieces-abidjan-cocody-golf-bervely-hills-5879106;2026-05-02T00:31:18+00:00
coinafrique;location;commercial;Location magasin - Angré;300000;35;8571;;Cocody;Angré;;https://ci.coinafrique.com/annonce/bureaux-et-commerces/location-magasin-angre-5891130;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 3 pièces à la 8 ème tranche, cité ève;420000;;;3;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-a-la-8-eme-tranche-cite-eve-5889450;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location vill duplex 4 pièces - Abidjan cocody riviera golf 4;1700000;500;3400;4;Cocody;Riviera Golf;;https://ci.coinafrique.com/annonce/villas/location-vill-duplex-4-pieces-abidjan-cocody-riviera-golf-4-5879101;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 3pièces - Cocody rivera;500000;85;5882;3;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3pieces-cocody-rivera-5864778;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 1553m2 -  Abidjan bingerville;250000000;1553;160979;;Cocody;;;https://ci.coinafrique.com/annonce/terrains/terrain-1553m2-abidjan-bingerville-5879096;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa  duplex 12pièces - Cocody 2plateau;5000000;1600;3125;12;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-12pieces-cocody-2plateau-5873771;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location  villa basse 5 pièces - Riviera abatta;700000;;;5;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villa-basse-5-pieces-riviera-abatta-5868107;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 4pièces  -Riviera;1000000;200;5000;4;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-4pieces-riviera-5864774;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex 5 pièces -Abatta;900000;400;2250;5;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-5-pieces-abatta-5860209;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartements  3 pièces - Riviera;830000;;;3;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-riviera-5868097;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex 11 pièces -   Cocody;3000000;750;4000;11;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-11-pieces-cocody-5873768;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa  duplex 5pieces -  Cocody rivera faya dans la cité benet;800000;450;1778;5;Cocody;Faya;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-5pieces-cocody-rivera-faya-dans-la-cite-benet-5861470;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex de 7 pièces à Cocody rivera faya cité artci;1800000;400;4500;7;Cocody;Faya;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-de-7-pieces-a-cocody-rivera-faya-cite-artci-5884342;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villas duplex 6 pièces meublées - cocody riviera m’pouto proche des écoles internationales;3500000;500;7000;6;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villas-duplex-6-pieces-meublees-cocody-riviera-mpouto-proche-des-ecoles-internationales-5881875;2026-05-02T00:31:18+00:00
coinafrique;location;;Location entrepôt - Yopougon;20000000;10000;2000;;Cocody;;;https://ci.coinafrique.com/annonce/bureaux-et-commerces/location-entrepot-yopougon-5849768;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 600m² - Riviéra palmeraie;85000000;600;141667;;;;;https://ci.coinafrique.com/annonce/terrains/terrain-600m-riviera-palmeraie-5852231;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 4500m2 - Féh kesse;160000;4500;36;;Cocody;;;https://ci.coinafrique.com/annonce/terrains/terrain-4500m2-feh-kesse-5882807;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex de 6 pièces à Cocody angre nouveau chu;1300000;350;3714;6;Cocody;Angre;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-de-6-pieces-a-cocody-angre-nouveau-chu-5884331;2026-05-02T00:31:18+00:00
coinafrique;location;commercial;Location bureaux & commerces 40 m2  - marcory;350000;40;8750;;Marcory;;;https://ci.coinafrique.com/annonce/bureaux-et-commerces/location-bureaux-et-commerces-40-m2-marcory-5875581;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 481 m2  - Bingerville akandjé;55000000;481;114345;;Bingerville;;;https://ci.coinafrique.com/annonce/terrains/terrain-481-m2-bingerville-akandje-5885992;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrains 500m²  - Cocody;115000000;500;230000;;Cocody;;;https://ci.coinafrique.com/annonce/terrains/terrains-500m-cocody-5880474;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex de 4 pièces à Cocody angre nouveau chu;600000;250;2400;4;Cocody;Angre;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-de-4-pieces-a-cocody-angre-nouveau-chu-5884329;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex 7pièces  - Cocody angre 8eme tranche;1200000;350;3429;7;Cocody;Angre;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-7pieces-cocody-angre-8eme-tranche-5882800;2026-05-02T00:31:18+00:00
coinafrique;location;;Location grand local commercial - Cocody Rivièra bonoumin;2000000;250;8000;;Cocody;Bonoumin;;https://ci.coinafrique.com/annonce/bureaux-et-commerces/location-grand-local-commercial-cocody-riviera-bonoumin-5884327;2026-05-02T00:31:18+00:00
