N°,Gestionnaire,Nom de l'OPC,Type d'OPC,Catégorie,Date,Valeur Liquidative,Actif net
5,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE HORIZON ,FCP,Diversifié,2022-12-31,6738.2355,342880368
6,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE ACTION,FCP,Actions ,2022-12-31,6472.4928,132487526
7,ATLANTIC ASSET MANAGEMENT,FCP IFC ATLANTIQUE,FCP,Obligataire (OLMT),2022-12-31,1189813.6865,7310960421
8,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE PRESTIGE,FCP,Obligataire (OLMT),2022-12-31,,
9,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SECURITE PLUS,FCP,Obligataire (OLMT),2022-12-31,,
10,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE OBLIGATIONS,FCP,Obligataire (OLMT),2022-12-31,,
1,SGO MALI FINANCES,NYESIGUI,FCP,Diversifié,2022-12-31,11956.2671,518130065
2,SGO MALI FINANCES,ORANGE MALI,FCPE,Diversifié,2022-12-31,28896.9228,3357109214
3,SGO MALI FINANCES,TOUNKARANKE,FCP,Obligataire (OLMT),2022-12-31,112584.8049,719043603
1,NSIA ASSET MANAGEMENT,NSIA FONDS DIVERSIFIE,FCP,Diversifié,2022-12-31,5683.69,10806467504.79
2,NSIA ASSET MANAGEMENT,AURORE OPPORTUNITES,FCP,Actions ,2022-12-31,5940.63,1436747118.44
3,NSIA ASSET MANAGEMENT,EVOLUTIS,FCPE,Diversifié,2022-12-31,4403.41,868334864.23
4,NSIA ASSET MANAGEMENT,AURORE SECURITE,FCP,Obligataire (OLMT),2022-12-31,5368.87,7444386820.04
5,NSIA ASSET MANAGEMENT,NSIA ASSURANCE OPTIMUM,FCP,Diversifié,2022-12-31,985246.82,3506596934.87
1,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM ACTIONS,FCP,Actions ,2022-12-31,11886.906089616,607341717
2,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE EQUILIBRE,FCP,Diversifié,2022-12-31,13406.3234102224,806635703.535341
3,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE OBLIGATIONS,FCP,Diversifié,2022-12-31,12686.6232426258,1897668453.95729
1,SGA2E,SODECI,FCPE,Diversifié,2022-12-31,9302.5031,19064595794
2,SGA2E,CIE,FCPE,Diversifié,2022-12-31,7458.7115932222,38009771162
1,OPTI ASSET MANAGEMENT,FCP1 OPTI PLACEMENT,FCP,Actions ,2022-12-31,16711.77,803868549.1603
2,OPTI ASSET MANAGEMENT,FCP2 OPTI REVENU,FCP,Obligataire (OLMT),2022-12-31,8313.51,8958012581.7718
3,OPTI ASSET MANAGEMENT,FCP3 OPTI CAPITAL,FCP,Diversifié,2022-12-31,19272.58,1110951452.3846
1,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL GARANTI,FCP,Diversifié,2022-12-31,13516.5103,971877641
2,ENKO CAPITAL WEST AFRICA,PATRIMOINE,FCP,Obligataire (OLMT),2022-12-31,11300.4492,26076487111
3,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL OBLIGATIONS,FCP,Obligataire (OLMT),2022-12-31,10204.976,616298912
1,BOA CAPITAL CAM, BOA PREMIUM,FCP,Diversifié,2022-12-31,73877.6252714233,157035780
2,BOA CAPITAL CAM, BOA ACTIONS,FCP,Actions ,2022-12-31,11515.7118883703,265043427
3,BOA CAPITAL CAM, SAHAM PERFORMANCE,FCP,Actions ,2022-12-31,132269.3037,328821489
4,BOA CAPITAL CAM, BOA INVESTMENT,FCP,Obligataire (OLMT),2022-12-31,36500251.0747411,3535525950
5,BOA CAPITAL CAM, GLOBAL INVESTORS,FCP,Diversifié,2022-12-31,28874.6160754551,11801634351
6,BOA CAPITAL CAM, EMERGENCE,FCP,Diversifié,2022-12-31,7229.4216566846,26726624569
7,BOA CAPITAL CAM, BOA SECURITE,FCP,Obligataire (OLMT),2022-12-31,108439.357789842,29037407517
8,BOA CAPITAL CAM, BOA OBLIGATIONS,FCP,Obligataire (OLMT),2022-12-31,12214.7956082285,45738661445
9,BOA CAPITAL CAM,BOA RENDEMENT,FCP,Obligataire (OLMT),2022-12-31,33742189.4829629,46608311383
1,BNI GESTION,OBLIG SECURITE,FCP,Obligataire (OLMT),2022-12-31,9702.8,111165446
2,BNI GESTION,KARIMA ETHIQUE,FCP,Diversifié,2022-12-31,1471.9,90223271
3,BNI GESTION,CNRA,FCPE,Diversifié,2022-12-31,3252.52,135646286
4,BNI GESTION,INITIATIVE SOLIDARITE,FCP,Diversifié,2022-12-31,4324.2,139278091
5,BNI GESTION,BNI RETRAITE,FCPE,Diversifié,2022-12-31,4143.52,280433624
6,BNI GESTION,SODEFOR COMPLEMENTAIRE RETRAITE,FCPE,Diversifié,2022-12-31,6401.09,588003785
7,BNI GESTION,CAPITAL CROISSANCE,FCP,Diversifié,2022-12-31,,
8,BNI GESTION,DYNAMIC SAVINGS ,FCP,Actions ,2022-12-31,,
1,CGF GESTION,FCP DIASPORA,FCP,Diversifié,2022-12-31,1157.77823168616,157725985
2,CGF GESTION,FCP WALO,FCP,Actions ,2022-12-31,1169.8418,269252399
