country;country_label;source;transaction;type_bien;subcategory;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
ML;Mali;selogeraumali;location;commercial;local professionnel;Bâtiment commercial à louer à korofina;800000;;;15;Korofina;;;https://selogeraumali.com/annonces-immobilieres/batiment-commercial-a-louer-a-korofina/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas;Villa pour bureaux ou habitation à louer à Faso kanu;350000;;;4;Faso kanu;;;https://selogeraumali.com/annonces-immobilieres/villa-pour-bureaux-ou-habitation-a-louer-a-faso-kanu/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex de standing à louer au début de sébénikoro;350000;;;4;Sébénikoro;;;https://selogeraumali.com/annonces-immobilieres/duplex-de-standing-a-louer-au-debut-de-sebenikoro/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex de standing à louer à l’aci 2000;2000000;;;5;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/duplex-de-standing-a-louer-a-laci-2000/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Appartement non meublé de 2 chambres à louer à magnambougou corniche;125000;;;2;Magnambougou;;;https://selogeraumali.com/annonces-immobilieres/appartement-non-meuble-de-2-chambres-a-louer-a-magnambougou-corniche/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex à louer à sébénikoro;500000;;;4;Sébénikoro;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-louer-a-sebenikoro-8/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Bâtiment pour usage d’habitation ou bureau à louer à Sébénikoro;1500000;;;10;Sébénikoro;;;https://selogeraumali.com/annonces-immobilieres/batiment-pour-usage-dhabitation-ou-bureau-a-louer-a-sebenikoro/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas;Villa neuve à vendre SIRACORO cité trésor;75000000;263;285171;3;Bamako mali;;;https://selogeraumali.com/annonces-immobilieres/villa-neuve-a-vendre-siracoro-cite-tresor/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas;Belle villa vendre SIRACORO cité;75000000;263;285171;3;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/belle-villa-vendre-siracoro-cite/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas;À vendre une villa à Yirimadio ZRNY;85000000;200;425000;3;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/a-vendre-une-villa-a-yirimadio-zrny/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;terrain;terrains;03 lots soit 1575m2 au bord du goudron à Sotuba ACI;400000000;1575;253968;;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/03-lots-soit-1575m2-au-bord-du-goudron-a-sotuba-aci/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas duplex;Vente duplex non meublé à Sotuba ACI;250000000;300;833333;5;Bamako;;;https://selogeraumali.com/annonces-immobilieres/vente-duplex-non-meuble-a-sotuba-aci/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas duplex;Vente duplex non meublé à Bacodjicoroni Golf;220000000;;;5;Bamako;;;https://selogeraumali.com/annonces-immobilieres/vente-duplex-non-meuble-a-bacodjicoroni-golf/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Location appartement meublé Golf avec système solaire;50000;;;3;Bamako Golf;;;https://selogeraumali.com/annonces-immobilieres/location-appartement-meuble-golf-avec-systeme-solaire-2/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas duplex;Duplex à vendre au golf;220000000;;;5;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-vendre-au-golf/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;commercial;commerces;Bel duplex de bonne facture à SOTUBA ACI;250000000;300;833333;5;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/bel-duplex-de-bonne-facture-a-sotuba-aci/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Location appartement meublé Golf avec système solaire;50000;;;3;Bamako Golf;;;https://selogeraumali.com/annonces-immobilieres/location-appartement-meuble-golf-avec-systeme-solaire/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Appartement meublé de 1 chambre à louer à l’aci 2000;250000;;;1;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/appartement-meuble-de-1-chambre-a-louer-a-laci-2000/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Appartement de 2 chambres à louer à bacodjicoroni golf;100000;;;2;Bacodjicoroni golf;;;https://selogeraumali.com/annonces-immobilieres/appartement-de-2-chambres-a-louer-a-bacodjicoroni-golf/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Appartement de 2 chambres à louer à magnambougou corniche;125000;;;2;Magnambougou;;;https://selogeraumali.com/annonces-immobilieres/appartement-de-2-chambres-a-louer-a-magnambougou-corniche/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;commercial;bureaux;Bureau de standing à louer au quartier du fleuve;300000;;;;Quartier du fleuve;;;https://selogeraumali.com/annonces-immobilieres/bureau-de-standing-a-louer-au-quartier-du-fleuve/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Appartement de 3 CHAMBRES non meublé à louer à Faladié;150000;;;3;Faladié;;;https://selogeraumali.com/annonces-immobilieres/appartement-de-3-chambres-non-meuble-a-louer-a-faladie/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Bâtiment pour usage d’habitation ou bureau à louer à Sotuba;400000;;;7;Sotuba;;;https://selogeraumali.com/annonces-immobilieres/batiment-pour-usage-dhabitation-ou-bureau-a-louer-a-sotuba/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas;Villa à louer à magnambougou Faso kanu;250000;;;3;Magnambougou;;;https://selogeraumali.com/annonces-immobilieres/villa-a-louer-a-magnambougou-faso-kanu-2/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas duplex;Duplex a vendre à Magnanbougou canal au bord du fleuve;300000000;275;1090909;4;Magnanbougou Canal;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-vendre-a-magnanbougou-canal-au-bord-du-fleuve/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas;Villa avec piscine à louer à l’hippodrome;750000;;;3;Hippodrome;;;https://selogeraumali.com/annonces-immobilieres/villa-avec-piscine-a-louer-a-lhippodrome-6/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex à louer à Badalabougou est;1000000;;;5;Badalabougou;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-louer-a-badalabougou-est-2/;2026-05-12T17:55:08+00:00
