isin;code;name;issuer;issuerType;country;sector;currency;nominalValue;totalIssued;outstanding;couponRate;couponFrequency;issueDate;maturityDate;firstCouponDate;rating;ratingAgency;callable;callDate;greenBond;description;amortizationType;Titre/Nominal
CI0000002960;TPCI.O32;TPCI 2,23% 2019-2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;47000000000;11750000000;2.23;1;20/06/2019;20/06/2026;20/06/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 2,23% sur la periode 2019-2026, emise pour le financement budgetaire.;ACD;T
CI0000002911;TPCI.O34;TPCI 6% 2019-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;3750;31532500000;11824687500;6.00;1;20/03/2019;20/03/2029;20/03/2022;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2019-2029, emise pour le financement budgetaire.;ACD;N
CI0000003059;TPCI.O35;TPCI 5,75% 2019 -2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,17E+11;23334604000;5.75;1;11/07/2019;11/07/2026;11/07/2022;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2019-2026, emise pour le financement budgetaire.;ACD;T
CI0000003117;TPCI.O36;TPCI 5,75% 2019- 2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;79966230000;15993246000;5.75;1;21/08/2019;21/08/2026;21/08/2022;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2019-2026, emise pour le financement budgetaire.;ACD;T
CI0000003174;TPCI.O37;TPCI 5,80% 2019-2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;2000;2,24E+11;44803208000;5.80;1;04/12/2019;04/12/2026;04/12/2022;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2019-2026, emise pour le financement budgetaire.;ACD;N
CI0000003133;TPCI.O38;TPCI 5,75% 2019-2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;2000;1,31E+11;26255212000;5.75;1;04/12/2019;04/12/2026;04/12/2022;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2019-2026, emise pour le financement budgetaire.;ACD;N
CI0000003125;TPCI.O39;TPCI 5,75% 2019 - 2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;2000;1,12E+11;22302490000;5.75;1;17/10/2019;17/10/2026;17/10/2022;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2019-2026, emise pour le financement budgetaire.;ACD;N
CI0000003380;TPCI.O40;TPCI 5,75% 2019-2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;2000;1,29E+11;25886520000;5.75;1;10/01/2020;10/01/2027;10/01/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2019-2026, emise pour le financement budgetaire.;ACD;N
CI0000003422;TPCI.O41;TPCI 5,80% 2020-2027;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;86402890000;17280578000;5.80;1;28/02/2020;28/02/2027;28/02/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;T
CI0000003430;TPCI.O42;TPCI 5,90% 2020-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;37805610000;18902805000;5.90;1;28/02/2020;28/02/2030;28/02/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2020-2030, emise pour le financement budgetaire.;ACD;T
CI0000003588;TPCI.O43;TPCI 5,90% 2020-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;56114040000;28057020000;5.90;1;23/04/2020;23/04/2030;23/04/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2020-2030, emise pour le financement budgetaire.;ACD;T
CI0000003596;TPCI.O44;TPCI 5,80% 2020-2027;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;61710640000;12342128000;5.80;1;23/04/2020;23/04/2027;23/04/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;T
CI0000003471;TPCI.O45;TPCI 5,80% 2020 -2027;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;4000;65390590000;26156236000;5.80;1;16/06/2027;16/06/2027;16/06/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;N
CI0000003497;TPCI.O46;TPCI 5,90% 2020-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;6250;31043200000;19402000000;5.90;1;16/06/2020;16/06/2030;16/06/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2020-2030, emise pour le financement budgetaire.;ACD;N
CI0000003489;TPCI.O47;TPCI 5,80% 2020 - 2027;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;4000;34639000000;13855600000;5.80;1;16/06/2020;16/06/2027;16/06/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;N
CI0000003653;TPCI.O48;TPCI 5,80% 2020- 2027;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;4000;93127500000;37251000000;5.80;1;29/07/2020;29/07/2027;29/07/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;N
CI0000003646;TPCI.O49;TPCI 5,90% 2020- 2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;6250;28176490000;17610306250;5.90;1;29/07/2020;29/07/2030;29/07/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2020-2030, emise pour le financement budgetaire.;ACD;N
CI0000003737;TPCI.O50;TPCI 5,90% 2020-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;6250;43627390000;27267118750;5.90;1;28/08/2020;28/08/2030;28/08/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2020-2030, emise pour le financement budgetaire.;ACD;N
CI0000003836;TPCI.O51;TPCI 5,80% 2020-2027;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;4000;98905760000;39562304000;5.80;1;02/10/2020;02/10/2027;02/10/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;N
CI0000003919;TPCI.O52;TPCI 5,90% 2020-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;6250;54877880000;34298675000;5.90;1;28/10/2020;28/10/2030;28/10/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2020-2030, emise pour le financement budgetaire.;ACD;N
CI0000003901;TPCI.O53;TPCI 5,80% 2020-2027;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;4000;96793720000;38717488000;5.80;1;28/10/2020;28/10/2027;28/10/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;N
CI0000003919;TPCI.O54;TPCI 5,90% 2020-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;6250;50000000000;31250000000;5.90;1;28/10/2020;28/10/2030;28/10/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2020-2030, emise pour le financement budgetaire.;ACD;N
CI0000004057;TPCI.O55;TPCI 5,80% 2020 -2027;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;4000;81234080000;32493632000;5.80;1;25/12/2020;25/12/2027;24/12/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;N
CI0000004065;TPCI.O56;TPCI 5,90% 2020- 2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;6250;41249020000;25780637500;5.90;1;25/12/2020;25/12/2030;25/12/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2020-2030, emise pour le financement budgetaire.;ACD;N
CI0000003968;TPCI.O57;TPCI 5,80% 2020-2027;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;4000;50950220000;20380088000;5.80;1;20/11/2020;20/11/2027;20/11/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;N
CI0000004172;TPCI.O58;TPCI 5,80% 2021-2028;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;4000;1,12E+11;44820568000;5.80;1;09/03/2021;09/03/2028;09/03/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2021-2028, emise pour le financement budgetaire.;ACD;N
CI0000004180;TPCI.O59;TPCI 5,90% 2021-2031;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;6250;50422930000;31514331250;5.90;1;09/03/2021;09/03/2031;09/03/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2021-2031, emise pour le financement budgetaire.;ACD;N
CI0000004313;TPCI.O60;TPCI 5,80% 2021-2028;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,10E+11;66000000000;5.80;1;13/05/2021;13/05/2028;13/05/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2021-2028, emise pour le financement budgetaire.;ACD;T
CI0000004321;TPCI.O61;TPCI 5,90% 2021-2031;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;55000000000;41250000000;5.90;1;13/05/2021;13/05/2031;13/05/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2021-2031, emise pour le financement budgetaire.;ACD;T
"	CI0000004479";TPCI.O62;TPCI 5,80 % 2021 -2028;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;6000;1,43E+11;85800000000;5.80;1;30/06/2021;30/06/2028;30/06/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2021-2028, emise pour le financement budgetaire.;ACD;N
CI0000004487;TPCI.O63;TPCI 5,90% 2021 -2031;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;7500;22000000000;16500000000;5.90;1;30/06/2021;31/12/2031;30/06/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2021-2031, emise pour le financement budgetaire.;ACD;N
CI0000004719;TPCI.O64;TPCI 5,80 % 2021 - 2028;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;6000;55000000000;33000000000;5.80;1;16/08/2021;16/08/2028;16/08/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,80% sur la periode 2021-2028, emise pour le financement budgetaire.;ACD;N
CI0000004834;TPCI.O65;TPCI 5,90 % 2021-2031;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;7500;1,17E+11;87750000000;5.90;1;11/10/2021;11/10/2031;11/10/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2021-2031, emise pour le financement budgetaire.;ACD;N
CI0000004891;TPCI.O66;TPCI 5,90% 2021-2031;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;7500;1,65E+11;1,24E+11;5.90;1;05/11/2021;05/11/2031;05/11/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2021-2031, emise pour le financement budgetaire.;ACD;N
CI0000004925;TPCI.O67;TPCI 5,90 % 2021-2036;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;2,42E+11;2,42E+11;5.90;1;16/12/2021;16/12/2036;16/12/2026;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2021-2036, emise pour le financement budgetaire.;ACD;T
CI0000004974;TPCI.O68;TPCI 5,90 % 2022-2037;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,65E+11;1,65E+11;5.90;1;01/02/2022;01/02/2037;01/02/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2022-2037, emise pour le financement budgetaire.;ACD;T
CI0000005096;TPCI.O69;TPCI 5,75 % 2022-2037;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;2,06E+11;2,06E+11;5.75;1;22/03/2022;22/03/2037;22/03/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2022-2037, emise pour le financement budgetaire.;ACD;T
CI0000005179;TPCI.O70;TPCI 5,75 % 2022-2037;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;3,16E+11;3,16E+11;5.75;1;29/04/2022;29/04/2037;29/04/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2022-2037, emise pour le financement budgetaire.;ACD;
CI0000005310;TPCI.O71;TPCI 5,65% 2022-2032;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,50E+11;1,31E+11;5.65;1;15/06/2022;15/06/2032;15/06/2025;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,65% sur la periode 2022-2032, emise pour le financement budgetaire.;ACD;T
CI0000005385;TPCI.O72;TPCI 5,65% 2022-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;8000;82458890000;65967112000;5.65;1;29/07/2022;29/07/2029;29/07/2025;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,65% sur la periode 2022-2029, emise pour le financement budgetaire.;ACD;N
CI0000005393;TPCI.O73;TPCI 5,75% 2022-2032;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;8750;82092620000;71831042500;5.75;1;29/07/2022;29/07/2032;29/07/2025;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2022-2032, emise pour le financement budgetaire.;ACD;N
CI0000005401;TPCI.O74;TPCI 5,85% 2022-2042;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;8947;55000000000;49210526315.7895;5.85;1;29/07/2022;29/07/2042;29/07/2024;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,85% sur la periode 2022-2042, emise pour le financement budgetaire.;ACD;N
CI0000005641;TPCI.O75;TPCI 5,65% 2022-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,98E+11;1,58E+11;5.65;1;07/10/2022;07/10/2029;07/10/2025;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,65% sur la periode 2022-2029, emise pour le financement budgetaire.;ACD;T
CI0000005658;TPCI.O76;TPCI 5,75% 2022-2032;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;67944000000;47560800000;5.75;1;07/10/2022;31/12/2032;07/10/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2022-2032, emise pour le financement budgetaire.;ACD;T
CI0000005674;TPCI.O77;TPCI (TAUX DE BASE + SPREAD) %2022-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;3,50E+11;3,50E+11;6.98;4;11/11/2022;11/11/2029;11/02/2028;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,98% sur la periode 2022-2029, emise pour le financement budgetaire.;ACD;T
CI0000005880;TPCI.O78;TPCI 5,65% 2022-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,08E+11;86362400000;5.65;1;13/12/2022;13/12/2029;13/12/2025;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,65% sur la periode 2022-2029, emise pour le financement budgetaire.;ACD;T
CI0000006235;TPCI.O79;TPCI 5,75% 2023-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;8000;1,22E+11;60893615000;5.75;1;28/02/2023;28/02/2030;28/02/2023;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;N
CI0000006383;TPCI.O80;TPCI 6% 2023-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;21857170000;21857170000;6.00;1;17/05/2023;17/05/2030;17/05/2026;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;T
CI0000006680;TPCI.O81;TPCI 5,90% 2023-2028;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;43822710000;43822710000;5.90;1;31/07/2023;31/07/2028;31/07/2026;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2023-2028, emise pour le financement budgetaire.;ACD;N
"	CI0000006698";TPCI.O82;TPCI 6,00% 2023-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;80804000000;80804000000;6.00;1;31/07/2023;31/07/2030;31/07/2026;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;
CI0000006904;TPCI.O83;TPCI 5,90 % 2023-2028;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;42213000000;42213000000;5.90;1;12/10/2023;12/10/2028;12/10/2026;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2023-2028, emise pour le financement budgetaire.;ACD;
CI0000006912;TPCI.O84;TPCI 6,00 % 2023-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;76792000000;76792000000;6.00;1;12/10/2023;12/10/2030;12/10/2026;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;
CI0000007142;TPCI.O85;TPCI 5,90 % 2023 - 2028;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;74364000000;74364000000;5.90;1;14/12/2023;14/12/2028;14/12/2026;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2023-2028, emise pour le financement budgetaire.;ACD;
CI0000007159;TPCI.O86;TPCI 6,00 % 2023 - 2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;49697800000;49697800000;6.00;1;14/12/2023;14/12/2030;14/12/2026;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;N
CI0000007357;TPCI.O87;TPCI 5,90% 2024-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;77110970000;77110970000;5.90;1;25/03/2023;25/03/2029;25/03/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2024-2029, emise pour le financement budgetaire.;ACD;T
CI0000007365;TPCI.O88;TPCI 6,00% 2024-2031;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;77000000000;77000000000;6.00;1;25/03/2024;25/03/2031;25/03/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2024-2031, emise pour le financement budgetaire.;ACD;T
CI0000007696;TPCI.O89;TPCI 5,90% 2024-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,02E+11;1,02E+11;5.90;1;19/07/2024;19/07/2029;19/07/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2024-2029, emise pour le financement budgetaire.;ACD;T
CI0000007704;TPCI.O90;TPCI 6,00% 2024-2031;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;77442600000;77442600000;6.00;1;19/07/2024;31/12/2031;19/07/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2024-2031, emise pour le financement budgetaire.;ACD;T
CI0000007878;TPCI.O91;TPCI 5,90% 2024-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;67552590000;67552590000;5.90;1;26/08/2024;26/08/2029;26/08/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2024-2029, emise pour le financement budgetaire.;ACD;N
CI0000007886;TPCI.O92;TPCI 6,00% 2024-2031;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;69148020000;69148020000;6.00;1;26/08/2024;31/12/2031;26/08/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2024-2031, emise pour le financement budgetaire.;ACD;N
CI0000008397;TPCI.O93;TPCI 5,90% 2024-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;16758050000;16758050000;5.90;1;19/11/2024;19/11/2029;19/11/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2024-2029, emise pour le financement budgetaire.;ACD;T
CI0000008405;TPCI.O94;TPCI 6,00% 2024-2031;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;29925440000;29925440000;6.00;1;19/11/2024;19/11/2031;19/11/2027;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2024-2031, emise pour le financement budgetaire.;ACD;T
CI0000008868;TPCI.O95;TPCI 5,90% 2025-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;2,39E+11;2,39E+11;5.90;1;06/03/2025;06/03/2030;06/03/2028;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2025-2030, emise pour le financement budgetaire.;ACD;N
CI0000008876;TPCI.O96;TPCI 6,00% 2025-2032;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;2,20E+11;2,20E+11;6.00;1;06/03/2025;06/03/2032;06/03/2028;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2025-2032, emise pour le financement budgetaire.;ACD;N
CI0000009437;TPCI.O97;TPCI 5,90% 2025-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;2,18E+11;2,18E+11;5.90;1;05/08/2025;05/08/2030;05/08/2028;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2025-2030, emise pour le financement budgetaire.;ACD;N
CI0000009445;TPCI.O98;TPCI 6,00% 2025-2032;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,55E+11;1,55E+11;6.00;1;05/08/2025;05/08/2032;05/08/2028;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2025-2032, emise pour le financement budgetaire.;ACD;N
"	CI0000002164";TPCI.O99;TPCI 5,60% 2025-2030;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;93559000000;93559000000;5.60;1;18/12/2025;18/12/2030;18/12/2028;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,60% sur la periode 2025-2030, emise pour le financement budgetaire.;ACD;
NE0000002417;TPNE.O10;TRESOR PUBLIC DU NIGER 6,60 %2025-2030;Etat du Niger;Obligation d'Etat;NE;Etat;XOF;10000;4227000000;4227000000;6.60;1;21/02/2025;21/02/2030;21/02/2028;Caa3;Moody's;false;;false;Obligation du Tresor Public du Niger au taux de 6,60% sur la periode 2025-2030, emise pour le financement budgetaire.;ACD;
NE0000000940;TPNE.O2;TRESOR PUBLIC DU NIGER 6,50%2019 - 2026;Etat du Niger;Obligation d'Etat;NE;Etat;XOF;10000;41500000000;8300000000;6.50;1;01/08/2019;01/08/2026;01/08/2022;Caa3;Moody's;false;;false;Obligation du Tresor Public du Niger au taux de 6,50% sur la periode 2019-2026, emise pour le financement budgetaire.;ACD;T
NE0000001088;TPNE.O3;TRESOR PUBLIC DU NIGER 6,5%2020-2027;Etat du Niger;Obligation d'Etat;NE;Etat;XOF;4000;1,26E+11;50208000000;6.50;1;31/07/2020;31/07/2027;31/07/2023;Caa3;Moody's;false;;false;Obligation du Tresor Public du Niger au taux de 6,50% sur la periode 2020-2027, emise pour le financement budgetaire.;ACD;N
NE0000001344;TPNE.O4;TRESOR PUBLIC DU NIGER 6,30% 2021-2031;Etat du Niger;Obligation d'Etat;NE;Etat;XOF;7500;1,65E+11;1,24E+11;6.30;1;24/08/2021;24/08/2031;24/08/2024;Caa3;Moody's;false;;false;Obligation du Tresor Public du Niger au taux de 6,30% sur la periode , emise pour le financement budgetaire.;ACD;N
NE0000001492;TPNE.O5;TPNE 6,15 % 2022-2034;Etat du Niger;Obligation d'Etat;NE;Etat;XOF;10000;1,10E+11;99000000000;6.15;1;03/06/2022;03/06/2034;03/06/2025;Caa3;Moody's;false;;false;Obligation du Tresor Public du Niger au taux de 6,15% sur la periode 2022-2034, emise pour le financement budgetaire.;ACD;T
NE0000001625;TPNE.O6;TRESOR PUBLIC DU NIGER 6,15% 2022 - 2034;Etat du Niger;Obligation d'Etat;NE;Etat;XOF;9000;55000000000;49500000000;6.15;1;14/12/2022;14/12/2034;14/12/2025;Caa3;Moody's;false;;false;Obligation du Tresor Public du Niger au taux de 6,15% sur la periode 2022-2034, emise pour le financement budgetaire.;ACD;N
NE0000001914;TPNE.O7;TRESOR PUBLIC DU NIGER 6,25 % 2023-2028;Etat du Niger;Obligation d'Etat;NE;Etat;XOF;7500;23200000000;17400000000;6.25;1;23/06/2023;23/06/2028;23/06/2025;Caa3;Moody's;false;;false;Obligation du Tresor Public du Niger au taux de 6,25% sur la periode 2023-2028, emise pour le financement budgetaire.;ACD;N
