country;country_label;source;transaction;type_bien;subcategory;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
SN;Sénégal;expat-dakar;location;commercial;proprietes-commerciales-a-louer;PLATEAUX DE BUREAUX à LOUER SUR LA VDN;1688000;;;;VDN;;;https://www.expat-dakar.com/annonce/plateaux-de-bureaux-a-louer-sur-la-vdn-6592120;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;commercial;proprietes-commerciales-a-louer;Plateau de bureau à louer sur la VDN;600000;;;;VDN;;;https://www.expat-dakar.com/annonce/plateau-de-bureau-a-louer-sur-la-vdn-6695729;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Magnifique appartement de type F4 à louer;520000;;;;Ngor;;;https://www.expat-dakar.com/annonce/magnifique-appartement-de-type-f4-a-louer-6671586;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Ref_2620_GL Résidence Ebene F4 à louer à sacré coeur 1;1000000;;;;Sacré-cœur;;;https://www.expat-dakar.com/annonce/ref-2620-gl-residence-ebene-f4-a-louer-a-sacre-coeur-1-6512280;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Deux chambres à louer par mois;300000;;;;Ouest foire;;;https://www.expat-dakar.com/annonce/deux-chambres-a-louer-par-mois-6713102;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;F4 EXCEPTIONNEL AVEC VUE SUR MER - HAUT PLATEAU;3000000;;;;Fenêtre mermoz;;;https://www.expat-dakar.com/annonce/f4-exceptionnel-avec-vue-sur-mer-haut-plateau-6717365;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Appartement à louer aux Almadies, King Fahd Palace;2222000;;;;Almadies;;;https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-king-fahd-palace-6640456;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain à vendre à yenn;2500000;;;;Yene;;;https://www.expat-dakar.com/annonce/terrain-a-vendre-a-yenn-6432601;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain à vendre vdn 3;30000000;;;;vdn 3;;;https://www.expat-dakar.com/annonce/terrain-a-vendre-vdn-3-6656596;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain à vendre à bambilor;5000000;;;;Bambilor;;;https://www.expat-dakar.com/annonce/terrain-a-vendre-a-bambilor-6500136;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain à vendre à keur ndiaye lo;16500000;;;;Keur ndiaye lô;;;https://www.expat-dakar.com/annonce/terrain-a-vendre-a-keur-ndiaye-lo-6432607;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain à vendre à noflaye tf;9000000;;;;Noflaye;;;https://www.expat-dakar.com/annonce/terrain-a-vendre-a-noflaye-tf-6500132;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-meubles;appartement meublé thies grand standing;39000;;;;Thiès;;;https://www.expat-dakar.com/annonce/appartement-meuble-thies-grand-standing-6329188;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-meubles;Magnifique et cosy F2 meublé;38000;;;;Almadies;;;https://www.expat-dakar.com/annonce/magnifique-et-cosy-f2-meuble-6262521;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-meubles;Résidence meublée de qualité avec toutes commodités;35000;;;;Liberte 1;;;https://www.expat-dakar.com/annonce/residence-meublee-de-qualite-avec-toutes-commodites-6703046;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;maison;maisons-a-louer;Villa à louer;1800000;;;;Mamelles;;;https://www.expat-dakar.com/annonce/villa-a-louer-6660477;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Appartement neuf aux Mamelles Cité Mbakiou faye;350000;;;;Mamelles;;;https://www.expat-dakar.com/annonce/appartement-neuf-aux-mamelles-cite-mbakiou-faye-6668763;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;F4 à louer Corniche avec les meubles longue durée;3500000;;;;Ouakam;;;https://www.expat-dakar.com/annonce/f4-a-louer-corniche-avec-les-meubles-longue-duree-6716520;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;F6 haut standing à louer sur la corniche vue Mer;3500000;;;;Ouakam;;;https://www.expat-dakar.com/annonce/f6-haut-standing-a-louer-sur-la-corniche-vue-mer-6668701;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;maison;maisons-a-louer;Grande Villa moderne de 600M ² à louer aux Almadies;3000000;;;;Almadies;;;https://www.expat-dakar.com/annonce/grande-villa-moderne-de-600m-2-a-louer-aux-almadies-6691203;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;F3 Neuf à louer aux Almadies;500000;;;;Almadies;;;https://www.expat-dakar.com/annonce/f3-neuf-a-louer-aux-almadies-6716516;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;APPARTEMENT F4 À LOUER À SACRÉ CŒUR 3 VDN;350000;;;;Sacré-cœur;;;https://www.expat-dakar.com/annonce/appartement-f4-a-louer-a-sacre-coeur-3-vdn-6681773;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;F4 à louer au point e au 10 ème étage;1150000;;;;Point-e;;;https://www.expat-dakar.com/annonce/f4-a-louer-au-point-e-au-10-eme-etage-6701306;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;F3 à louer à Ngor Almadies avec les meubles;1106000;;;;Ngor;;;https://www.expat-dakar.com/annonce/f3-a-louer-a-ngor-almadies-avec-les-meubles-6691261;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-a-louer;Appartement F4 à louer au point e;780000;;;;Point-e;;;https://www.expat-dakar.com/annonce/appartement-f4-a-louer-au-point-e-6716493;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;appartement;appartements-meubles;Appartement meublé avec piscine et salle de sport;48000;;;;Almadies;;;https://www.expat-dakar.com/annonce/appartement-meuble-avec-piscine-et-salle-de-sport-6317497;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;appartement;appartements-a-vendre;Appartement NEUF F4 À Mermoz;230000000;;;;Mermoz;;;https://www.expat-dakar.com/annonce/appartement-neuf-f4-a-mermoz-6692415;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;location;maison;maisons-a-louer;Villa F6 R+1 avec Jardin et Piscine- Cité Africa;2500000;;;;Ouakam;;;https://www.expat-dakar.com/annonce/villa-f6-r1-avec-jardin-et-piscine-cite-africa-6650743;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain Angle de 261 m2 à Zac Mbao Cité Police;40000000;261;153257;;Zac Mbao;;;https://www.expat-dakar.com/annonce/terrain-angle-de-261-m2-a-zac-mbao-cite-police-6693697;2026-05-12T18:13:43+00:00
SN;Sénégal;expat-dakar;achat;terrain;terrains-a-vendre;Terrain Angle 400m2 à Saly en bail Sapco;33000000;400;82500;;Saly;;;https://www.expat-dakar.com/annonce/terrain-angle-400m2-a-saly-en-bail-sapco-6563543;2026-05-12T18:13:43+00:00
